event_id,title,category,city,description,price,capacity,date
28,Spiritual Fest 2024,spiritual,Pune,A fantastic spiritual event in Pune.,1541.92,176,2025-10-29
29,Technology Fest 2025,technology,Jaipur,A fantastic technology event in Jaipur.,1363.39,662,2025-09-06
30,Business Fest 2025,business,Delhi,A fantastic business event in Delhi.,154.92,752,2025-11-23
31,Technology Fest 2024,technology,Delhi,A fantastic technology event in Delhi.,1702.74,787,2025-08-21
32,Food Fest 2024,food,Kolkata,A fantastic food event in Kolkata.,109.6,252,2025-09-27
33,Cultural Fest 2025,cultural,Mumbai,A fantastic cultural event in Mumbai.,1052.76,865,2025-08-17
34,Education Fest 2024,education,Bangalore,A fantastic education event in Bangalore.,1609.12,531,2025-09-19
35,Cultural Fest 2024,cultural,Kolkata,A fantastic cultural event in Kolkata.,450.41,803,2025-08-30
36,Food Fest 2025,food,Pune,A fantastic food event in Pune.,757.76,412,2025-08-19
37,Spiritual Fest 2024,spiritual,Bangalore,A fantastic spiritual event in Bangalore.,747.28,235,2025-08-26
38,Business Fest 2025,business,Ahmedabad,A fantastic business event in Ahmedabad.,1937.27,458,2025-10-07
39,Technology Fest 2024,technology,Mumbai,A fantastic technology event in Mumbai.,156.21,852,2025-10-05
40,Entertainment Fest 2024,entertainment,Hyderabad,A fantastic entertainment event in Hyderabad.,586.22,552,2025-11-06
41,Food Fest 2024,food,Chennai,A fantastic food event in Chennai.,1999.1,554,2025-10-03
42,Business Fest 2024,business,Ahmedabad,A fantastic business event in Ahmedabad.,968.58,856,2025-11-26
43,Spiritual Fest 2024,spiritual,Chennai,A fantastic spiritual event in Chennai.,1736.92,768,2025-10-15
44,Education Fest 2024,education,Lucknow,A fantastic education event in Lucknow.,553.76,540,2025-10-22
45,Education Fest 2024,education,Lucknow,A fantastic education event in Lucknow.,906.11,135,2025-07-15
46,Entertainment Fest 2025,entertainment,Jaipur,A fantastic entertainment event in Jaipur.,537.5,204,2025-09-16
47,Technology Fest 2024,technology,Mumbai,A fantastic technology event in Mumbai.,1719.73,301,2025-10-29
48,Technology Fest 2025,technology,Ahmedabad,A fantastic technology event in Ahmedabad.,1818.92,254,2025-12-03
49,Sports Fest 2025,sports,Pune,A fantastic sports event in Pune.,1851.51,619,2025-08-23
50,Technology Fest 2024,technology,Pune,A fantastic technology event in Pune.,671.43,553,2025-08-03
51,Spiritual Fest 2025,spiritual,Hyderabad,A fantastic spiritual event in Hyderabad.,335.87,719,2025-06-30
52,Spiritual Fest 2025,spiritual,Kolkata,A fantastic spiritual event in Kolkata.,1663.16,239,2025-07-24
53,Entertainment Fest 2025,entertainment,Delhi,A fantastic entertainment event in Delhi.,1481.18,738,2025-09-12
54,Sports Fest 2024,sports,Kolkata,A fantastic sports event in Kolkata.,1566.24,722,2025-10-16
55,Cultural Fest 2024,cultural,Jaipur,A fantastic cultural event in Jaipur.,689.42,340,2025-09-12
56,Food Fest 2024,food,Mumbai,A fantastic food event in Mumbai.,951.41,580,2025-12-16
57,Cultural Fest 2024,cultural,Pune,A fantastic cultural event in Pune.,265.29,248,2025-10-25
58,Cultural Fest 2025,cultural,Ahmedabad,A fantastic cultural event in Ahmedabad.,1942.03,350,2025-09-04
59,Technology Fest 2025,technology,Pune,A fantastic technology event in Pune.,1282.62,60,2025-06-29
60,Cultural Fest 2024,cultural,Pune,A fantastic cultural event in Pune.,854.09,437,2025-11-02
61,Entertainment Fest 2025,entertainment,Chennai,A fantastic entertainment event in Chennai.,1315.0,172,2025-09-24
62,Business Fest 2025,business,Lucknow,A fantastic business event in Lucknow.,453.16,966,2025-06-28
63,Entertainment Fest 2025,entertainment,Chennai,A fantastic entertainment event in Chennai.,1824.24,162,2025-07-22
64,Entertainment Fest 2024,entertainment,Lucknow,A fantastic entertainment event in Lucknow.,607.19,781,2025-10-30
65,Business Fest 2024,business,Ahmedabad,A fantastic business event in Ahmedabad.,856.9,629,2025-10-24
66,Education Fest 2024,education,Mumbai,A fantastic education event in Mumbai.,384.61,134,2025-09-17
67,Food Fest 2025,food,Pune,A fantastic food event in Pune.,720.0,327,2025-08-24
68,Cultural Fest 2025,cultural,Hyderabad,A fantastic cultural event in Hyderabad.,1758.54,245,2025-09-12
69,Spiritual Fest 2025,spiritual,Lucknow,A fantastic spiritual event in Lucknow.,1217.26,973,2025-11-23
70,Spiritual Fest 2024,spiritual,Chennai,A fantastic spiritual event in Chennai.,1531.41,464,2025-08-11
71,Education Fest 2025,education,Hyderabad,A fantastic education event in Hyderabad.,1812.99,489,2025-10-16
72,Business Fest 2024,business,Ahmedabad,A fantastic business event in Ahmedabad.,1486.6,732,2025-11-21
73,Entertainment Fest 2025,entertainment,Kolkata,A fantastic entertainment event in Kolkata.,1661.24,619,2025-07-08
74,Entertainment Fest 2024,entertainment,Chennai,A fantastic entertainment event in Chennai.,1274.2,973,2025-09-19
75,Sports Fest 2024,sports,Hyderabad,A fantastic sports event in Hyderabad.,1758.81,81,2025-08-13
76,Technology Fest 2025,technology,Kolkata,A fantastic technology event in Kolkata.,387.15,159,2025-11-29
77,Cultural Fest 2024,cultural,Pune,A fantastic cultural event in Pune.,1715.64,619,2025-09-29
78,Spiritual Fest 2025,spiritual,Ahmedabad,A fantastic spiritual event in Ahmedabad.,527.27,123,2025-10-06
79,Spiritual Fest 2024,spiritual,Pune,A fantastic spiritual event in Pune.,1296.41,819,2025-08-27
80,Technology Fest 2024,technology,Hyderabad,A fantastic technology event in Hyderabad.,773.31,805,2025-11-07
81,Entertainment Fest 2025,entertainment,Bangalore,A fantastic entertainment event in Bangalore.,1097.32,562,2025-08-23
82,Sports Fest 2024,sports,Lucknow,A fantastic sports event in Lucknow.,694.31,514,2025-08-31
83,Entertainment Fest 2024,entertainment,Chennai,A fantastic entertainment event in Chennai.,292.94,237,2025-10-20
84,Sports Fest 2024,sports,Hyderabad,A fantastic sports event in Hyderabad.,1853.65,364,2025-09-22
85,Entertainment Fest 2024,entertainment,Mumbai,A fantastic entertainment event in Mumbai.,1491.77,720,2025-07-05
86,Food Fest 2024,food,Delhi,A fantastic food event in Delhi.,354.61,236,2025-10-28
87,Technology Fest 2024,technology,Mumbai,A fantastic technology event in Mumbai.,1978.8,103,2025-09-08
88,Spiritual Fest 2025,spiritual,Ahmedabad,A fantastic spiritual event in Ahmedabad.,412.58,574,2025-07-10
89,Spiritual Fest 2025,spiritual,Lucknow,A fantastic spiritual event in Lucknow.,417.32,582,2025-08-21
90,Entertainment Fest 2025,entertainment,Kolkata,A fantastic entertainment event in Kolkata.,1119.23,331,2025-09-11
91,Education Fest 2024,education,Pune,A fantastic education event in Pune.,1521.36,484,2025-09-18
92,Education Fest 2024,education,Hyderabad,A fantastic education event in Hyderabad.,1896.66,169,2025-09-08
93,Entertainment Fest 2025,entertainment,Chennai,A fantastic entertainment event in Chennai.,1758.35,459,2025-08-24
94,Education Fest 2024,education,Bangalore,A fantastic education event in Bangalore.,918.0,329,2025-12-12
95,Technology Fest 2024,technology,Mumbai,A fantastic technology event in Mumbai.,638.56,157,2025-06-29
96,Spiritual Fest 2024,spiritual,Hyderabad,A fantastic spiritual event in Hyderabad.,1411.74,113,2025-09-06
97,Sports Fest 2025,sports,Lucknow,A fantastic sports event in Lucknow.,131.06,129,2025-09-21
98,Spiritual Fest 2025,spiritual,Hyderabad,A fantastic spiritual event in Hyderabad.,1963.55,135,2025-07-26
99,Cultural Fest 2025,cultural,Ahmedabad,A fantastic cultural event in Ahmedabad.,268.44,201,2025-07-17
100,Business Fest 2025,business,Mumbai,A fantastic business event in Mumbai.,153.06,712,2025-10-03
101,Cultural Fest 2024,cultural,Lucknow,A fantastic cultural event in Lucknow.,224.9,381,2025-10-15
102,Sports Fest 2024,sports,Delhi,A fantastic sports event in Delhi.,398.32,701,2025-11-03
103,Business Fest 2024,business,Bangalore,A fantastic business event in Bangalore.,793.91,103,2025-08-17
104,Spiritual Fest 2024,spiritual,Lucknow,A fantastic spiritual event in Lucknow.,1879.35,584,2025-09-12
105,Cultural Fest 2024,cultural,Hyderabad,A fantastic cultural event in Hyderabad.,1388.38,831,2025-12-14
106,Spiritual Fest 2024,spiritual,Mumbai,A fantastic spiritual event in Mumbai.,119.55,875,2025-09-05
107,Spiritual Fest 2024,spiritual,Pune,A fantastic spiritual event in Pune.,1235.81,139,2025-11-10
108,Entertainment Fest 2025,entertainment,Lucknow,A fantastic entertainment event in Lucknow.,621.55,388,2025-07-01
109,Food Fest 2024,food,Mumbai,A fantastic food event in Mumbai.,530.23,432,2025-12-04
110,Food Fest 2025,food,Bangalore,A fantastic food event in Bangalore.,1967.86,616,2025-10-09
111,Education Fest 2024,education,Mumbai,A fantastic education event in Mumbai.,1472.38,531,2025-12-09
112,Education Fest 2024,education,Kolkata,A fantastic education event in Kolkata.,116.04,244,2025-09-26
113,Food Fest 2024,food,Bangalore,A fantastic food event in Bangalore.,589.37,755,2025-08-26
114,Technology Fest 2024,technology,Pune,A fantastic technology event in Pune.,1225.93,484,2025-11-22
115,Education Fest 2025,education,Jaipur,A fantastic education event in Jaipur.,1698.18,503,2025-11-13
116,Business Fest 2025,business,Pune,A fantastic business event in Pune.,1992.51,153,2025-07-08
117,Spiritual Fest 2024,spiritual,Chennai,A fantastic spiritual event in Chennai.,706.05,730,2025-09-27
118,Education Fest 2025,education,Mumbai,A fantastic education event in Mumbai.,1529.71,253,2025-11-27
119,Cultural Fest 2024,cultural,Lucknow,A fantastic cultural event in Lucknow.,1573.11,968,2025-09-12
120,Technology Fest 2024,technology,Bangalore,A fantastic technology event in Bangalore.,1019.96,60,2025-08-18
121,Sports Fest 2024,sports,Jaipur,A fantastic sports event in Jaipur.,1381.6,383,2025-12-13
122,Education Fest 2025,education,Ahmedabad,A fantastic education event in Ahmedabad.,1766.06,408,2025-09-13
123,Entertainment Fest 2024,entertainment,Lucknow,A fantastic entertainment event in Lucknow.,269.9,937,2025-12-19
124,Sports Fest 2024,sports,Jaipur,A fantastic sports event in Jaipur.,506.39,474,2025-10-14
125,Spiritual Fest 2025,spiritual,Chennai,A fantastic spiritual event in Chennai.,370.77,180,2025-09-03
126,Food Fest 2025,food,Delhi,A fantastic food event in Delhi.,615.93,84,2025-09-16
127,Business Fest 2024,business,Hyderabad,A fantastic business event in Hyderabad.,1930.03,858,2025-11-14
128,Entertainment Fest 2025,entertainment,Kolkata,A fantastic entertainment event in Kolkata.,1312.78,230,2025-07-18
129,Education Fest 2025,education,Bangalore,A fantastic education event in Bangalore.,403.88,258,2025-10-19
130,Sports Fest 2024,sports,Chennai,A fantastic sports event in Chennai.,1564.13,225,2025-09-28
131,Cultural Fest 2024,cultural,Mumbai,A fantastic cultural event in Mumbai.,755.67,638,2025-07-21
132,Business Fest 2025,business,Bangalore,A fantastic business event in Bangalore.,1228.32,459,2025-08-06
133,Entertainment Fest 2024,entertainment,Mumbai,A fantastic entertainment event in Mumbai.,108.51,158,2025-10-06
134,Sports Fest 2025,sports,Jaipur,A fantastic sports event in Jaipur.,1719.76,143,2025-11-04
135,Spiritual Fest 2024,spiritual,Pune,A fantastic spiritual event in Pune.,1822.03,674,2025-09-10
136,Entertainment Fest 2025,entertainment,Mumbai,A fantastic entertainment event in Mumbai.,133.58,666,2025-12-07
137,Education Fest 2025,education,Lucknow,A fantastic education event in Lucknow.,1696.68,898,2025-12-16
138,Entertainment Fest 2024,entertainment,Bangalore,A fantastic entertainment event in Bangalore.,1503.43,266,2025-06-25
139,Spiritual Fest 2025,spiritual,Kolkata,A fantastic spiritual event in Kolkata.,632.75,644,2025-10-11
140,Sports Fest 2024,sports,Mumbai,A fantastic sports event in Mumbai.,894.04,254,2025-10-24
141,Cultural Fest 2024,cultural,Kolkata,A fantastic cultural event in Kolkata.,551.91,729,2025-10-19
142,Spiritual Fest 2024,spiritual,Chennai,A fantastic spiritual event in Chennai.,1924.05,556,2025-11-11
143,Spiritual Fest 2024,spiritual,Hyderabad,A fantastic spiritual event in Hyderabad.,776.1,676,2025-10-30
144,Business Fest 2024,business,Mumbai,A fantastic business event in Mumbai.,1199.5,86,2025-08-02
145,Business Fest 2025,business,Ahmedabad,A fantastic business event in Ahmedabad.,1759.82,354,2025-10-26
146,Spiritual Fest 2025,spiritual,Ahmedabad,A fantastic spiritual event in Ahmedabad.,1743.25,198,2025-10-10
147,Cultural Fest 2024,cultural,Jaipur,A fantastic cultural event in Jaipur.,1144.67,159,2025-07-08
148,Technology Fest 2025,technology,Jaipur,A fantastic technology event in Jaipur.,885.73,398,2025-09-07
149,Technology Fest 2025,technology,Delhi,A fantastic technology event in Delhi.,668.88,659,2025-12-03
150,Spiritual Fest 2024,spiritual,Lucknow,A fantastic spiritual event in Lucknow.,648.47,692,2025-07-16
151,Spiritual Fest 2024,spiritual,Ahmedabad,A fantastic spiritual event in Ahmedabad.,1870.95,264,2025-11-15
152,Education Fest 2025,education,Hyderabad,A fantastic education event in Hyderabad.,1434.9,980,2025-10-09
153,Education Fest 2025,education,Bangalore,A fantastic education event in Bangalore.,1674.93,883,2025-08-21
154,Spiritual Fest 2025,spiritual,Ahmedabad,A fantastic spiritual event in Ahmedabad.,1197.28,608,2025-08-22
155,Food Fest 2024,food,Jaipur,A fantastic food event in Jaipur.,854.7,777,2025-12-12
156,Cultural Fest 2024,cultural,Jaipur,A fantastic cultural event in Jaipur.,1958.97,255,2025-10-02
157,Entertainment Fest 2024,entertainment,Bangalore,A fantastic entertainment event in Bangalore.,1180.1,260,2025-11-19
158,Spiritual Fest 2024,spiritual,Chennai,A fantastic spiritual event in Chennai.,1316.51,969,2025-06-27
159,Entertainment Fest 2024,entertainment,Mumbai,A fantastic entertainment event in Mumbai.,1021.23,801,2025-07-10
160,Food Fest 2025,food,Jaipur,A fantastic food event in Jaipur.,999.3,220,2025-09-21
161,Food Fest 2024,food,Jaipur,A fantastic food event in Jaipur.,1413.78,491,2025-10-24
162,Food Fest 2025,food,Bangalore,A fantastic food event in Bangalore.,1141.65,571,2025-09-02
163,Spiritual Fest 2025,spiritual,Bangalore,A fantastic spiritual event in Bangalore.,586.89,745,2025-10-31
164,Food Fest 2025,food,Chennai,A fantastic food event in Chennai.,175.92,389,2025-10-17
165,Business Fest 2025,business,Delhi,A fantastic business event in Delhi.,1251.29,776,2025-12-16
166,Education Fest 2024,education,Kolkata,A fantastic education event in Kolkata.,118.55,555,2025-08-13
167,Cultural Fest 2024,cultural,Jaipur,A fantastic cultural event in Jaipur.,119.68,914,2025-07-28
168,Business Fest 2025,business,Hyderabad,A fantastic business event in Hyderabad.,292.93,874,2025-09-20
169,Education Fest 2024,education,Lucknow,A fantastic education event in Lucknow.,616.97,450,2025-07-06
170,Sports Fest 2024,sports,Bangalore,A fantastic sports event in Bangalore.,1852.96,722,2025-09-19
171,Cultural Fest 2024,cultural,Hyderabad,A fantastic cultural event in Hyderabad.,318.85,500,2025-10-01
172,Technology Fest 2024,technology,Bangalore,A fantastic technology event in Bangalore.,257.61,658,2025-10-30
173,Business Fest 2025,business,Ahmedabad,A fantastic business event in Ahmedabad.,1963.78,446,2025-07-21
174,Technology Fest 2024,technology,Lucknow,A fantastic technology event in Lucknow.,472.5,248,2025-10-08
175,Education Fest 2024,education,Bangalore,A fantastic education event in Bangalore.,160.27,436,2025-10-27
176,Sports Fest 2024,sports,Mumbai,A fantastic sports event in Mumbai.,1241.87,859,2025-08-23
177,Spiritual Fest 2024,spiritual,Ahmedabad,A fantastic spiritual event in Ahmedabad.,1928.17,252,2025-10-11
178,Entertainment Fest 2024,entertainment,Jaipur,A fantastic entertainment event in Jaipur.,1203.1,261,2025-09-10
179,Entertainment Fest 2025,entertainment,Hyderabad,A fantastic entertainment event in Hyderabad.,536.29,320,2025-09-01
180,Business Fest 2024,business,Hyderabad,A fantastic business event in Hyderabad.,129.38,556,2025-10-19
181,Business Fest 2025,business,Pune,A fantastic business event in Pune.,1044.34,477,2025-08-05
182,Sports Fest 2024,sports,Chennai,A fantastic sports event in Chennai.,1542.23,614,2025-08-02
183,Sports Fest 2025,sports,Lucknow,A fantastic sports event in Lucknow.,1940.94,119,2025-11-23
184,Cultural Fest 2025,cultural,Lucknow,A fantastic cultural event in Lucknow.,1041.4,282,2025-12-17
185,Spiritual Fest 2024,spiritual,Mumbai,A fantastic spiritual event in Mumbai.,1517.46,817,2025-11-23
186,Entertainment Fest 2025,entertainment,Kolkata,A fantastic entertainment event in Kolkata.,1203.63,145,2025-10-19
187,Food Fest 2025,food,Jaipur,A fantastic food event in Jaipur.,1519.7,636,2025-10-23
188,Technology Fest 2024,technology,Hyderabad,A fantastic technology event in Hyderabad.,1540.17,379,2025-07-14
189,Cultural Fest 2025,cultural,Bangalore,A fantastic cultural event in Bangalore.,381.78,664,2025-11-05
190,Business Fest 2025,business,Kolkata,A fantastic business event in Kolkata.,236.51,93,2025-06-25
191,Sports Fest 2025,sports,Hyderabad,A fantastic sports event in Hyderabad.,1094.61,280,2025-11-20
192,Spiritual Fest 2024,spiritual,Lucknow,A fantastic spiritual event in Lucknow.,1552.92,140,2025-08-03
193,Entertainment Fest 2024,entertainment,Kolkata,A fantastic entertainment event in Kolkata.,742.32,729,2025-07-10
194,Spiritual Fest 2025,spiritual,Lucknow,A fantastic spiritual event in Lucknow.,854.97,85,2025-08-31
195,Spiritual Fest 2025,spiritual,Kolkata,A fantastic spiritual event in Kolkata.,497.39,537,2025-08-05
196,Entertainment Fest 2025,entertainment,Hyderabad,A fantastic entertainment event in Hyderabad.,1636.6,900,2025-08-21
197,Cultural Fest 2025,cultural,Hyderabad,A fantastic cultural event in Hyderabad.,252.16,497,2025-12-02
198,Technology Fest 2025,technology,Chennai,A fantastic technology event in Chennai.,1382.37,551,2025-07-30
199,Business Fest 2025,business,Ahmedabad,A fantastic business event in Ahmedabad.,1292.4,207,2025-07-12
200,Technology Fest 2025,technology,Chennai,A fantastic technology event in Chennai.,979.74,684,2025-11-09
201,Business Fest 2024,business,Ahmedabad,A fantastic business event in Ahmedabad.,1547.45,116,2025-09-21
202,Cultural Fest 2024,cultural,Bangalore,A fantastic cultural event in Bangalore.,348.4,156,2025-06-28
203,Cultural Fest 2024,cultural,Hyderabad,A fantastic cultural event in Hyderabad.,1977.31,380,2025-09-02
204,Food Fest 2025,food,Hyderabad,A fantastic food event in Hyderabad.,1409.36,661,2025-08-23
205,Business Fest 2025,business,Chennai,A fantastic business event in Chennai.,953.24,619,2025-08-21
206,Education Fest 2025,education,Bangalore,A fantastic education event in Bangalore.,896.21,266,2025-09-30
207,Food Fest 2024,food,Bangalore,A fantastic food event in Bangalore.,476.59,99,2025-07-21
208,Education Fest 2024,education,Bangalore,A fantastic education event in Bangalore.,1678.99,242,2025-10-23
209,Education Fest 2025,education,Chennai,A fantastic education event in Chennai.,1403.58,165,2025-10-24
210,Education Fest 2024,education,Delhi,A fantastic education event in Delhi.,1129.17,373,2025-07-14
211,Business Fest 2024,business,Delhi,A fantastic business event in Delhi.,119.4,123,2025-11-21
212,Business Fest 2024,business,Mumbai,A fantastic business event in Mumbai.,1559.88,964,2025-10-19
213,Sports Fest 2024,sports,Bangalore,A fantastic sports event in Bangalore.,1788.5,732,2025-08-12
214,Education Fest 2024,education,Mumbai,A fantastic education event in Mumbai.,1607.2,622,2025-07-31
215,Education Fest 2025,education,Kolkata,A fantastic education event in Kolkata.,1788.58,1000,2025-09-26
216,Business Fest 2024,business,Jaipur,A fantastic business event in Jaipur.,546.6,160,2025-11-18
217,Cultural Fest 2025,cultural,Kolkata,A fantastic cultural event in Kolkata.,334.37,620,2025-11-18
218,Entertainment Fest 2025,entertainment,Hyderabad,A fantastic entertainment event in Hyderabad.,1596.27,232,2025-11-24
219,Cultural Fest 2025,cultural,Mumbai,A fantastic cultural event in Mumbai.,400.64,179,2025-09-20
220,Cultural Fest 2024,cultural,Lucknow,A fantastic cultural event in Lucknow.,1244.66,958,2025-08-09
221,Food Fest 2025,food,Chennai,A fantastic food event in Chennai.,1411.8,821,2025-09-22
222,Technology Fest 2024,technology,Hyderabad,A fantastic technology event in Hyderabad.,1646.75,621,2025-08-16
223,Food Fest 2024,food,Ahmedabad,A fantastic food event in Ahmedabad.,574.2,985,2025-09-12
224,Spiritual Fest 2024,spiritual,Kolkata,A fantastic spiritual event in Kolkata.,1118.18,818,2025-10-04
225,Sports Fest 2025,sports,Lucknow,A fantastic sports event in Lucknow.,1439.09,675,2025-10-09
226,Sports Fest 2024,sports,Delhi,A fantastic sports event in Delhi.,1015.04,918,2025-07-07
227,Spiritual Fest 2024,spiritual,Jaipur,A fantastic spiritual event in Jaipur.,576.62,956,2025-09-26
228,Food Fest 2024,food,Lucknow,A fantastic food event in Lucknow.,601.77,518,2025-07-24
229,Sports Fest 2025,sports,Bangalore,A fantastic sports event in Bangalore.,1350.71,187,2025-07-03
230,Sports Fest 2025,sports,Ahmedabad,A fantastic sports event in Ahmedabad.,1039.4,630,2025-12-13
231,Business Fest 2025,business,Bangalore,A fantastic business event in Bangalore.,1385.81,302,2025-10-05
232,Business Fest 2024,business,Chennai,A fantastic business event in Chennai.,947.83,410,2025-09-11
233,Technology Fest 2025,technology,Chennai,A fantastic technology event in Chennai.,1680.29,133,2025-12-14
234,Spiritual Fest 2025,spiritual,Bangalore,A fantastic spiritual event in Bangalore.,1154.71,300,2025-09-29
235,Business Fest 2024,business,Hyderabad,A fantastic business event in Hyderabad.,1664.02,760,2025-11-27
236,Entertainment Fest 2024,entertainment,Jaipur,A fantastic entertainment event in Jaipur.,1787.96,152,2025-12-02
237,Business Fest 2024,business,Chennai,A fantastic business event in Chennai.,992.01,871,2025-10-09
238,Business Fest 2024,business,Kolkata,A fantastic business event in Kolkata.,422.04,281,2025-09-01
239,Technology Fest 2024,technology,Lucknow,A fantastic technology event in Lucknow.,1555.39,377,2025-12-16
240,Education Fest 2025,education,Bangalore,A fantastic education event in Bangalore.,1890.58,891,2025-10-25
241,Cultural Fest 2024,cultural,Kolkata,A fantastic cultural event in Kolkata.,363.04,572,2025-12-05
242,Entertainment Fest 2024,entertainment,Jaipur,A fantastic entertainment event in Jaipur.,1677.95,885,2025-10-27
243,Education Fest 2024,education,Delhi,A fantastic education event in Delhi.,719.93,851,2025-08-25
244,Education Fest 2025,education,Chennai,A fantastic education event in Chennai.,908.09,974,2025-12-13
245,Education Fest 2025,education,Kolkata,A fantastic education event in Kolkata.,899.13,438,2025-08-28
246,Education Fest 2024,education,Pune,A fantastic education event in Pune.,585.55,546,2025-07-30
247,Food Fest 2024,food,Lucknow,A fantastic food event in Lucknow.,1254.26,507,2025-10-12
248,Business Fest 2024,business,Mumbai,A fantastic business event in Mumbai.,737.48,843,2025-06-28
249,Food Fest 2025,food,Lucknow,A fantastic food event in Lucknow.,1326.91,129,2025-11-27
250,Entertainment Fest 2024,entertainment,Chennai,A fantastic entertainment event in Chennai.,1451.0,330,2025-11-18
251,Sports Fest 2025,sports,Jaipur,A fantastic sports event in Jaipur.,342.59,574,2025-12-04
252,Cultural Fest 2025,cultural,Chennai,A fantastic cultural event in Chennai.,968.88,185,2025-08-23
253,Spiritual Fest 2024,spiritual,Chennai,A fantastic spiritual event in Chennai.,1988.06,441,2025-12-11
254,Food Fest 2024,food,Delhi,A fantastic food event in Delhi.,1098.03,186,2025-12-06
255,Spiritual Fest 2025,spiritual,Kolkata,A fantastic spiritual event in Kolkata.,253.66,87,2025-10-21
256,Cultural Fest 2024,cultural,Jaipur,A fantastic cultural event in Jaipur.,410.68,196,2025-11-11
257,Sports Fest 2024,sports,Chennai,A fantastic sports event in Chennai.,213.18,580,2025-09-23
258,Sports Fest 2025,sports,Bangalore,A fantastic sports event in Bangalore.,1357.1,811,2025-07-04
259,Business Fest 2024,business,Delhi,A fantastic business event in Delhi.,1052.17,223,2025-07-13
260,Technology Fest 2024,technology,Jaipur,A fantastic technology event in Jaipur.,1301.94,753,2025-12-15
261,Entertainment Fest 2024,entertainment,Bangalore,A fantastic entertainment event in Bangalore.,811.82,115,2025-09-19
262,Cultural Fest 2025,cultural,Kolkata,A fantastic cultural event in Kolkata.,973.54,540,2025-10-29
263,Cultural Fest 2025,cultural,Kolkata,A fantastic cultural event in Kolkata.,1797.8,887,2025-08-25
264,Entertainment Fest 2024,entertainment,Jaipur,A fantastic entertainment event in Jaipur.,434.16,556,2025-09-23
265,Cultural Fest 2024,cultural,Kolkata,A fantastic cultural event in Kolkata.,725.94,650,2025-10-09
266,Cultural Fest 2024,cultural,Mumbai,A fantastic cultural event in Mumbai.,1199.96,305,2025-08-25
267,Spiritual Fest 2025,spiritual,Delhi,A fantastic spiritual event in Delhi.,1986.35,213,2025-11-06
268,Education Fest 2024,education,Mumbai,A fantastic education event in Mumbai.,1754.37,828,2025-07-11
269,Sports Fest 2024,sports,Chennai,A fantastic sports event in Chennai.,807.89,237,2025-10-01
